hashtag,count,party
COVID19,12596,L
AmericanRescuePlan,6494,L
BuildBackBetter,6305,L
ChildTaxCredit,3464,L
ForThePeople,3291,L
AZ01,2314,L
BlackHistoryMonth,1871,L
GetCovered,1687,L
SOTU,1647,L
InflationReductionAct,1627,L
2020Census,1551,L
HeroesAct,1350,L
SCOTUS,1282,L
coronavirus,1276,L
EndGunViolence,1272,L
CancelStudentDebt,1191,L
ACA,1175,L
WomensHistoryMonth,1082,L
DCStatehood,984,L
Juneteenth,938,L
ProtectOurCare,936,L
EqualityAct,918,L
IA03,917,L
COVID,887,L
HispanicHeritageMonth,882,L
VeteransDay,857,L
TrumpShutdown,853,L
HR1,840,L
ActOnClimate,822,L
ClimateCrisis,807,L
GOPTaxScam,780,L
EarthDay,773,L
BuildBackBetterAct,768,L
StopAsianHate,761,L
DACA,750,L
PeopleOverPolitics,745,L
JusticeInPolicing,737,L
MemorialDay,730,L
TX07,714,L
AmericanJobsPlan,709,L
NetNeutrality,702,L
HR8,658,L
Philly,658,L
VA10,618,L
ICYMI,584,L
OTD,580,L
LaborDay,569,L
PROAct,565,L
VAWA,534,L
NeverForget,528,L
InternationalWomensDay,517,L
PrideMonth,512,L
SocialSecurity,505,L
LGBTQ,496,L
EqualPayDay,485,L
Census2020,483,L
MLKDay,479,L
GetVaccinated,474,L
CARESAct,473,L
AmericaCOMPETES,462,L
BipartisanInfrastructureLaw,461,L
DontMessWithUSPS,452,L
RaiseTheWage,449,L
MN02,447,L
PA17,443,L
Trumpcare,439,L
RoeVWade,430,L
WV,426,L
NationalVoterRegistrationDay,423,L
ClimateChange,418,L
WHPA,405,L
EqualPay,403,L
KS03,400,L
Trump,395,L
INVESTAct,391,L
PACTAct,388,L
JointAddress,386,L
Pride,382,L
VA07,381,L
DefendOurDemocracy,376,L
NDAA,373,L
BlackLivesMatter,370,L
January6th,367,L
HolocaustRemembranceDay,366,L
TrumpBudget,359,L
HR4,359,L
LA02,359,L
GeorgeFloyd,346,L
ForThePeopleAct,340,L
Dreamers,334,L
FamiliesFirst,334,L
AAPI,328,L
RoshHashanah,323,L
TBDWhatsNext,319,L
WearOrange,316,L
Coronavirus,313,L
FlaPol,312,L
StandWithUkraine,308,L
BreastCancerAwarenessMonth,301,L
RestoreTheVote,301,L
VotingRightsAct,300,L
WorldAIDSDay,300,L
PaycheckFairnessAct,295,L
Momnibus,294,L
LowerDrugCosts,289,L
HomeIsHere,287,L
mepolitics,287,L
RecoveryMonth,284,L
BHM,283,L
CA33,283,L
climatechange,281,L
healthcare,281,L
SmallBusinessSaturday,278,L
IndigenousPeoplesDay,274,L
ElectionDay,273,L
ClimateActionNow,271,L
CA44,268,L
veterans,267,L
MothersDay,265,L
CA49,263,L
HelpIsHere,258,L
Diwali,257,L
MedicareForAll,257,L
ABetterDeal,257,L
NY04,256,L
PA07,254,L
EnoughIsEnough,252,L
ClimateAction,251,L
YomKippur,247,L
Passover,247,L
SmallBusinessWeek,245,L
FathersDay,244,L
STEM,244,L
WomensEqualityDay,240,L
RoevWade,238,L
WhatsAtStake,234,L
Ukraine,232,L
EssexCounty,231,L
EndForcedArbitration,230,L
ERANow,230,L
GoodTrouble,229,L
PFAS,229,L
PuertoRico,229,L
NJ11,229,L
TX15,227,L
TBT,225,L
CareEconomy,225,L
13thDistrictStrong,225,L
Medicare,224,L
vtpoli,224,L
MA3,224,L
RespectForMarriageAct,223,L
AffordableCareAct,223,L
USMCA,222,L
MovingForward,222,L
CA07,221,L
MD02,220,L
EidMubarak,219,L
EndTheFilibuster,219,L
Thanksgiving,218,L
DREAMers,217,L
OpenEnrollment,215,L
