COVID19,4507,R
BidenBorderCrisis,2814,R
SOTU,2513,R
utpol,2061,R
USMCA,1689,R
coronavirus,1615,R
MI06,1323,R
ICYMI,1278,R
MS01,1253,R
TaxReform,1216,R
Obamacare,1173,R
Bidenflation,1025,R
SCOTUS,924,R
China,843,R
PaycheckProtectionProgram,841,R
CommitmentToAmerica,837,R
NE03,810,R
NDAA,788,R
AR3,784,R
ar4,761,R
taxreform,739,R
IA02,735,R
VeteransDay,719,R
AL03,719,R
NeverForget,685,R
PPP,682,R
MemorialDay,678,R
CCP,673,R
TaxCutsandJobsAct,672,R
NationalPoliceWeek,651,R
NY21,629,R
PuertoRico,604,R
IA01,580,R
veterans,563,R
2A,559,R
CA21,540,R
IA04,527,R
smallbiz,524,R
ProLife,519,R
GA12,505,R
Cuba,477,R
BetterOffNow,458,R
Senate,425,R
NC10,424,R
COVID,423,R
BackTheBlue,422,R
NorthDakota,416,R
WickerReport,415,R
99countymeetings,409,R
AL06,404,R
Iran,397,R
MN01,397,R
TX25,397,R
IRS,385,R
mepolitics,376,R
LA05,365,R
MLKDay,363,R
FlagDay,361,R
Ukraine,354,R
MI07,352,R
sayfie,348,R
FL03,346,R
Afghanistan,342,R
jobs,339,R
SOSCuba,335,R
CARESAct,334,R
NC13,334,R
DDay,332,R
OperationWarpSpeed,324,R
ENDALZ,322,R
SmallBiz,321,R
BigTech,315,R
tcot,315,R
ConstitutionDay,314,R
OnThisDay,313,R
TN04,313,R
FarmBill,311,R
JointAddress,307,R
SmallBusinessWeek,303,R
JobsReport,298,R
FL02,292,R
OTD,291,R
InItTogether,291,R
politics,289,R
WOTUS,286,R
TaxDay,285,R
Florida,285,R
Ohio,282,R
SchumerShutdown,278,R
AL,277,R
OK04,277,R
BlackHistoryMonth,276,R
Israel,276,R
KeystoneXL,274,R
BuildBackBroke,272,R
COVID19,267,R
HR1,267,R
WA04,267,R
WV,266,R
IL16,262,R
IranDeal,258,R
GA03,258,R
TX23,255,R
IN08,255,R
HolocaustRemembranceDay,244,R
BetterWay,242,R
WomensHistoryMonth,241,R
GreenNewDeal,241,R
IL18,241,R
TX12,237,R
Alabama,236,R
NationalAgDay,235,R
Venezuela,233,R
HydeSavesLives,230,R
opioidcrisis,227,R
NationalDayofPrayer,227,R
USMCAnow,227,R
TX31,227,R
LawEnforcementAppreciationDay,224,R
SOTUinCrisis,221,R
IndependenceDay,219,R
Iowa,219,R
PearlHarbor,218,R
ObamaCare,217,R
PA12,217,R
JUSTICEAct,216,R
BorderCrisis,214,R
TakeBackDay,212,R
Texas,212,R
NationalFarmersDay,211,R
impeachment,211,R
GA10,211,R
4jobs,210,R
PresidentsDay,209,R
SmallBusinessSaturday,208,R
TBT,208,R
CA25,208,R
prolife,207,R
Coronavirus,205,R
ArmedForcesDay,204,R
EPA,199,R
STEM,196,R
ncpol,196,R
GA08,194,R
FoxNews,191,R
TaxCutsAndJobsAct,191,R
CA39,191,R
Veterans,189,R
LaborDay,184,R
SemperFi,183,R
TN03,181,R
